sample_id,label,prediction,classification_correct,expected_logit,dense,categorical_ids,embedding_0,embedding_1,embedding_2,embedding_3,expected_bottom,expected_interaction
218,0,0,1,-1954,-1481;-2039;1653;-2557;-992;-130;2132;169,56;35;31;30,34;298;82;-302;237;-221;137;-11,-351;98;342;-296;390;145;-331;-116,-232;-123;-168;449;-331;447;241;141,80;-713;-301;-173;-587;-391;78;440,0;0;0;3486;0;3328;0;4974,0;0;0;3486;0;3328;0;4974;-900;-550;74;1833;-166;-137;139;-112;-250;70
219,0,0,1,-3014,-2661;-2615;-1480;1455;693;728;-896;-346,30;9;68;117,469;287;9;138;-404;311;189;-104,-94;-34;-261;-443;-36;-494;-61;-221,286;70;-281;140;70;-48;-195;140,-525;-489;-355;26;-148;-163;-367;254,0;0;0;4188;0;4576;0;8502,0;0;0;4188;0;4576;0;8502;545;-2927;-120;760;37;-8;743;-231;97;12
220,0,0,1,-1294,-1902;-1294;1662;-2789;-1115;353;-1199;3959,63;48;93;63,-258;258;-70;-108;272;162;195;101,-175;475;143;58;-204;688;57;232,-9;188;-185;54;-215;-77;192;-33,268;272;167;-333;163;315;-170;268,0;0;0;4025;0;4467;0;5470,0;0;0;4025;0;4467;0;5470;411;2234;118;-150;10;30;748;56;158;-49
221,0,0,1,-3125,-5052;-3392;-1559;1308;-958;-463;1549;730,49;12;61;43,-278;-149;133;-207;-266;89;-228;57,173;267;-221;-237;-83;-299;444;36,-215;-112;254;-190;159;-371;-149;-68,118;249;-2;-66;7;165;62;255,0;0;0;7353;0;6190;0;11475,0;0;0;7353;0;6190;0;11475;-155;-1553;-84;-2185;51;-24;1691;-21;44;-62
222,1,0,0,-38,1422;-271;-1775;1267;5084;1847;1755;546,5;31;88;121,76;191;-92;281;-300;-85;420;-167,277;-283;-327;-103;67;-396;22;64,-246;-437;-204;108;128;33;134;206,44;725;98;339;152;614;212;203,3804;0;2060;0;0;2429;0;4342,3804;0;2060;0;0;2429;0;4342;-406;-148;-10;-186;-35;60;1339;91;-232;-98
223,0,0,1,-1288,-1180;-1222;-980;1541;615;-2466;-2953;139,4;19;2;104,-205;-396;-374;71;-376;-272;247;68,-50;165;175;-40;-28;77;-11;211,170;38;61;6;-64;290;-154;256,-208;-358;-80;-182;-192;-79;-236;-129,120;339;0;1621;0;4149;0;4027,120;339;0;1621;0;4149;0;4027;-439;564;-60;1112;-72;43;-629;111;-39;-30
224,1,1,1,944,-1884;-323;1747;1702;1517;1990;1604;-2639,53;32;40;43,599;-80;222;391;-541;-197;512;-13,205;421;296;246;110;-105;49;-380,-297;-116;-88;54;-108;94;-40;-122,118;249;-2;-66;7;165;62;255,3273;1483;854;0;0;1985;2053;699,3273;1483;854;0;0;1985;2053;699;1310;574;118;-586;-71;-49;677;8;1;-42
225,0,0,1,-3169,-2435;-725;-2294;-4954;-15;1221;-424;-110,43;50;12;16,478;152;150;-158;283;-99;-153;-123,158;131;419;-140;243;371;-78;45,-107;-665;-130;-147;-426;354;-130;125,-213;319;-305;227;119;-356;86;-9,0;0;0;10970;0;2844;0;13737,0;0;0;10970;0;2844;0;13737;-1809;67;107;543;-146;-46;661;-38;-128;-182
226,0,0,1,-12,1809;1720;-2221;-378;-1157;2130;-919;-2604,10;28;14;60,142;-109;-34;431;18;144;-80;152,-172;-78;-158;-418;-174;77;-134;-33,61;230;-54;6;-210;466;-56;562,134;0;209;-242;-220;141;-530;92,3849;580;1864;2918;0;0;2479;4832,3849;580;1864;2918;0;0;2479;4832;1081;-1325;-86;1397;69;19;-327;-10;79;92
227,1,1,1,3171,715;3403;3906;1734;-751;-1843;1373;1386,53;22;58;74,599;-80;222;391;-541;-197;512;-13,35;-93;177;-133;-71;102;394;-335,-1;-283;-203;-304;-95;-207;-355;396,191;104;195;-62;235;131;-75;-19,6256;8056;2355;0;0;4883;10871;0,6256;8056;2355;0;0;4883;10871;0;4018;2279;117;-3728;-116;-125;1131;-32;6;-39
228,0,0,1,-3389,-390;-123;-4991;-3519;-163;2492;-2552;3163,18;13;32;53,145;21;194;-74;26;184;312;174,-85;-372;267;19;259;1;-374;-301,-50;-350;17;275;11;404;-48;6,21;-787;-276;-132;-233;-264;-116;20,0;0;0;9213;0;2623;0;12659,0;0;0;9213;0;2623;0;12659;978;-1774;-64;1792;14;80;-808;-71;94;63
229,1,1,1,126,1235;1256;-3085;2222;-908;-2211;1363;-5803,44;79;20;101,-63;419;186;-108;-298;-279;57;67,61;276;320;-408;161;164;113;285,-256;297;307;90;190;-339;71;-181,223;282;514;520;-67;69;95;264,3299;3422;2706;6127;0;0;4096;6450,3299;3422;2706;6127;0;0;4096;6450;846;885;72;331;106;29;4087;82;64;75
230,0,0,1,-311,-2397;134;1343;6;-60;-2895;-468;3207,50;56;3;122,-1;315;-352;-376;277;-56;-156;-178,-366;-553;-251;-253;178;5;134;-170,-152;-233;156;304;-254;-424;-521;-5,248;27;-242;159;-188;-3;51;344,814;1139;0;1625;0;3398;1843;1276,814;1139;0;1625;0;3398;1843;1276;-468;-631;33;-1124;-101;-23;495;-43;-83;-6
231,0,0,1,-1000,-566;-1828;673;574;-1282;-1065;-136;5351,9;54;42;112,317;208;-340;54;-371;-186;116;-195,15;-102;-418;-279;41;-52;392;-411,-39;-106;-294;124;10;-256;-35;83,89;550;348;190;-150;213;306;283,2079;1255;770;2512;0;3844;103;2837,2079;1255;770;2512;0;3844;103;2837;-226;-1194;113;-430;47;31;1598;15;-130;-90
232,0,0,1,-720,986;1163;-3044;-1348;1810;-2166;291;2157,33;3;63;75,-256;23;-193;149;-93;-20;-347;-179,-55;305;309;-27;23;21;-43;306,26;93;481;150;-223;77;-60;-55,-422;134;-73;-41;-33;-140;32;-202,652;0;1103;5337;0;0;0;5060,652;0;1103;5337;0;0;0;5060;-239;835;-41;522;-12;75;-780;73;-12;-17
233,1,1,1,95,1290;-2331;-671;1714;556;-2921;1699;-1997,48;39;63;5,530;132;0;344;-110;408;-75;649,86;-119;86;-35;221;371;258;-203,26;93;481;150;-223;77;-60;-55,-54;50;-649;113;172;-234;-222;-410,837;956;1318;909;0;2260;0;2961,837;956;1318;909;0;2260;0;2961;1819;135;-3;436;50;1;-1217;-169;-46;-153
234,1,0,0,-204,-315;-743;-1193;2881;-176;104;-1250;-3278,24;49;26;81,-382;-270;136;504;-61;81;184;-10,64;-92;-277;143;-214;123;-125;-337,-155;82;385;301;306;-137;-217;-8,-470;-131;148;-66;-352;20;-353;70,2784;1869;1198;103;0;3662;87;4029,2784;1869;1198;103;0;3662;87;4029;-528;-600;19;-165;84;-65;-517;78;15;32
235,0,0,1,-2953,-3490;-3976;-261;-1799;1164;-1000;2658;-3986,43;32;59;45,478;152;150;-158;283;-99;-153;-123,205;421;296;246;110;-105;49;-380,-479;-32;28;188;6;-202;112;37,290;114;-203;-278;1;-264;-26;179,0;0;0;8195;0;3604;0;11231,0;0;0;8195;0;3604;0;11231;-1481;-1284;121;600;-127;-21;-595;87;-31;-70
236,0,0,1,-1911,-1734;-338;-4222;2055;-2037;-2196;1054;1013,45;21;72;96,31;493;16;543;-450;416;-43;68,-315;-5;-270;-363;313;-71;-144;-521,45;58;-205;-143;-117;-19;-578;-45,-352;57;84;-384;243;98;-432;41,0;1202;1078;6798;0;2829;8;6714,0;1202;1078;6798;0;2829;8;6714;2898;-3157;-202;-725;8;80;-929;-116;165;119
237,0,0,1,-2330,-3715;-1168;1264;-766;-1825;3546;-2018;-2041,2;47;11;43,203;32;-68;32;293;314;-326;-187,-174;-441;-19;-166;8;90;45;353,-52;-61;49;-266;-291;-279;-7;544,118;249;-2;-66;7;165;62;255,692;0;0;3685;0;6554;0;8186,692;0;0;3685;0;6554;0;8186;384;1342;-51;785;-145;119;1468;8;-6;42
238,1,1,1,2661,4279;-978;-845;2712;-281;2273;-1881;3399,16;20;65;93,178;35;-187;115;323;175;-191;238,436;373;17;65;85;175;477;-102,-180;185;-69;-35;-139;18;-108;295,-603;-446;-292;191;582;-193;-66;79,6298;3320;4648;0;0;5345;2731;1194,6298;3320;4648;0;0;5345;2731;1194;521;3017;18;-335;16;-50;-3786;68;-218;-7
239,0,1,0,144,793;-728;-2679;-53;1900;3333;3160;-1137,48;57;39;83,530;132;0;344;-110;408;-75;649,-331;5;324;-22;-52;-208;-177;56,195;-189;-253;-330;-132;-177;-97;-215,-153;62;14;84;-249;-165;-228;-202,2565;0;1295;3128;0;0;0;7173,2565;0;1295;3128;0;0;0;7173;3462;-47;-103;-1173;-110;-45;-762;-97;63;27
240,1,1,1,1071,-1437;2990;1035;1083;415;-479;221;-576,42;58;67;85,70;111;191;-314;665;201;-69;-241,8;91;-444;44;-282;-43;-131;-254,21;334;-149;-242;-48;155;219;79,35;-150;-312;262;-56;76;-151;16,3473;3797;252;0;0;2245;6271;0,3473;3797;252;0;0;2245;6271;0;357;-321;-104;1477;25;22;-636;-84;81;-41
241,0,0,1,-1872,-4043;-3452;5124;-3410;2845;-1081;462;70,41;37;15;111,188;-135;511;330;-408;-130;87;129,-301;-89;225;-21;462;167;-196;105,63;570;264;288;65;21;303;437,-30;-98;-250;-95;-327;-100;-87;-174,0;0;0;3178;0;5286;0;5678,0;0;0;3178;0;5286;0;5678;534;690;-73;1713;107;2;-888;-17;-100;-135
242,0,1,0,243,-1589;-164;1064;233;-4507;-1380;-3792;-2637,43;3;13;100,478;152;150;-158;283;-99;-153;-123,-55;305;309;-27;23;21;-43;306,-598;-397;-459;-123;-188;-361;-203;505,25;-542;205;382;-267;-204;74;447,2059;926;614;380;0;9225;489;4836,2059;926;614;380;0;9225;489;4836;-208;977;22;-1423;-217;-37;67;-108;5;192
243,0,0,1,-1924,908;-1875;-1602;-1459;1071;323;-3185;2191,37;64;29;108,254;-38;-279;-197;171;-85;39;112,-225;-177;-210;-418;-78;-15;-253;-135,-51;207;-316;-45;205;339;-363;174,-382;8;166;152;195;202;-106;-404,0;0;0;2560;0;3329;0;5952,0;0;0;2560;0;3329;0;5952;-59;-939;26;1000;43;52;-656;-101;24;19
244,0,0,1,-2450,-2880;599;-935;-1870;-819;-3328;-578;-1096,59;44;78;9,137;-202;158;-201;408;249;40;15,354;139;25;-213;300;131;-42;-94,173;-92;341;-16;-122;347;293;40,274;-25;387;439;339;28;23;253,0;0;119;7462;0;1979;0;8006,0;0;119;7462;0;1979;0;8006;-424;-1016;107;453;72;26;2638;81;44;78
245,0,0,1,-1130,741;-1825;-36;-1875;2539;-3242;3550;506,33;17;8;7,-256;23;-193;149;-93;-20;-347;-179,213;-208;9;170;-63;318;322;-122,61;2;415;285;-162;354;342;-2,355;8;268;312;-72;205;131;7,0;236;0;3436;0;900;0;3631,0;236;0;3436;0;900;0;3631;-74;185;-62;630;-80;145;627;-68;117;171
246,1,0,0,-266,-1024;936;1709;-944;-234;-305;-591;1438,26;1;78;3,5;-145;423;71;-317;516;54;-93,-117;523;284;-83;-329;88;-718;-28,173;-92;341;-16;-122;347;293;40,-382;-319;-86;-143;-156;206;-101;-134,1090;623;0;846;0;2430;1667;448,1090;623;0;846;0;2430;1667;448;624;-424;74;716;189;-54;-227;78;5;-4
247,0,0,1,-21,3522;-1079;-3036;-694;1630;2821;-1273;-775,47;57;41;46,-55;115;-60;-225;46;-185;188;167,-331;5;324;-22;-52;-208;-177;56,47;-359;4;-406;-176;114;-15;-151,137;-90;-285;-253;-125;135;-242;-13,2575;0;2378;1309;0;568;0;6429,2575;0;2378;1309;0;568;0;6429;190;64;8;-638;-5;-13;-324;-11;-55;90
248,0,0,1,-3388,-6347;1183;-158;-1212;-1192;249;-495;-3239,38;58;59;124,-185;184;-60;177;377;495;383;-251,8;91;-444;44;-282;-43;-131;-254,-479;-32;28;188;6;-202;112;37,-20;67;136;154;-95;368;-401;329,0;0;0;9346;0;3844;426;11229,0;0;0;9346;0;3844;426;11229;440;-1300;-31;705;25;-14;3114;-27;-33;-33
249,1,1,1,760,2065;240;1633;-730;438;3586;1054;1287,49;69;51;115,-278;-149;133;-207;-266;89;-228;57,-68;331;-91;-65;68;244;-22;109,455;-409;297;233;-403;67;296;402,-247;-14;198;314;95;169;452;29,3552;1571;1971;0;0;893;1015;717,3552;1571;1971;0;0;893;1015;717;-523;182;-7;1078;-3;-89;59;-39;7;70
250,1,1,1,978,-1148;-984;2603;1293;942;-1377;1235;-920,63;41;46;20,-258;258;-70;-108;272;162;195;101,397;626;157;226;-333;37;-231;125,64;92;-277;308;12;-241;-128;47,164;-56;98;58;-403;-140;-243;-46,1398;2230;830;0;0;2332;2669;0,1398;2230;830;0;0;2332;2669;0;515;757;-46;-410;-31;64;-385;-124;116;26
251,1,1,1,874,737;-1236;3293;173;-4179;1288;-652;-1433,1;79;23;23,-193;98;-161;-396;37;21;-168;-162,61;276;320;-408;161;164;113;285,19;42;-34;36;74;692;111;495,-80;-76;-483;-15;-148;428;425;209,3142;2048;1990;0;0;7048;0;1129,3142;2048;1990;0;0;7048;0;1129;-372;1402;34;2692;-44;130;920;-5;-10;218
252,0,0,1,-1203,-629;-4690;-228;1314;-2383;5258;3961;681,19;5;54;65,209;167;-302;6;-33;46;-88;120,-15;-178;52;124;379;54;-281;-117,-211;-80;35;-242;109;-376;-690;-295,218;-12;192;5;421;-73;-236;210,2295;0;1989;1391;0;5893;0;9233,2295;0;1989;1391;0;5893;0;9233;618;-254;-23;-2779;-32;117;1171;7;101;66
253,0,0,1,-314,-869;233;-2197;2120;1764;6698;-782;-1213,58;72;11;55,0;-286;-212;-83;-5;41;-200;-135,-260;317;-354;-797;-105;31;376;-255,-52;-61;49;-266;-291;-279;-7;544,-118;-298;189;147;-34;194;-340;214,7507;0;791;0;0;1668;0;5678,7507;0;791;0;0;1668;0;5678;-423;-1771;6;1109;-26;34;392;39;-205;34
254,0,0,1,-1087,43;-1417;-1755;2073;1163;-3404;-3152;-1851,26;7;88;5,5;-145;423;71;-317;516;54;-93,264;-330;-383;-550;125;17;-31;-431,-246;-437;-204;108;128;33;134;206,-54;50;-649;113;172;-234;-222;-410,943;786;599;1733;0;4323;390;4759,943;786;599;1733;0;4323;390;4759;1014;-1554;-70;325;-25;11;-1589;-207;174;18
255,1,1,1,1527,2656;-1565;-354;2358;-784;-4495;4279;-740,11;48;31;100,41;-54;-320;-21;-103;-166;-6;228,-175;475;143;58;-204;688;57;232,-232;-123;-168;449;-331;447;241;141,25;-542;205;382;-267;-204;74;447,2499;3498;2080;402;0;4464;3897;472,2499;3498;2080;402;0;4464;3897;472;-692;2416;-59;890;16;198;-813;58;-92;135
